"","Lfd. Nr.","Konzentrationslager und Außenkommandos","Konzentrationslager und Außenkommandos","Hauptlager der Außenkommandos"
"342","202","Brünnlitz = Brnenec/Tschech., Kreis Mährisch-Trübau (früher: Kreis Zwittau),","Brünnlitz = Brnenec/Tschech., Kreis Mährisch-Trübau (früher: Kreis Zwittau),","Groß Rosen"
"343","","","21.10.1944 bis 8.5.1945",""
"344","203","Bruntal, siehe Freudenthal","Bruntal, siehe Freudenthal",""
"345","204","Bruss-Sophienwalde = Brusy-Dziemiany, Kreis Konitz/Westpreußen,","Bruss-Sophienwalde = Brusy-Dziemiany, Kreis Konitz/Westpreußen,","Stutthof"
"346","204","","24.8.1944 bis 31.3.1945",""
"347","205","Bruttig, siehe Cochem","Bruttig, siehe Cochem",""
"348","206","Brüx, siehe Seestadtl","Brüx, siehe Seestadtl",""
"349","207","Brzezinka, siehe Birkenau","Brzezinka, siehe Birkenau",""
"350","208","Buchenwald, früher Ettersberg,","Buchenwald, früher Ettersberg,",""
"351","208","","15.7.1937 bis 11.4.1945 mit",""
"352","208","","SS-Baubrigade I",""
"353","208","","SS-Baubrigade III",""
"354","208","","SS-Baubrigade IV",""
"355","208","","SS-Baubrigade V West",""
"356","208","","SS-Eisenbahn-Baubrigade 1 (auch als 6 bezeichnet)",""
"357","208","","SS-Eisenbahn-Baubrigade 2 (auch als 7 bezeichnet)",""
"358","208","","SS-Eisenbahn-Baubrigade 3",""
"359","208","","SS-Eisenbahn-Baubrigade 10",""
"360","209","Buchwald-Hohenwiese, Kreis Hirschberg/Niederschlesien, Kdo. v. Hirschberg,","Buchwald-Hohenwiese, Kreis Hirschberg/Niederschlesien, Kdo. v. Hirschberg,","Groß Rosen"
"361","209","","14.11.1944 bis 18.2.1945",""
"362","210","Budki/Estland, siehe Putki","Budki/Estland, siehe Putki",""
"363","211","Budweis = Ceske Budejovice/Tschech.,","Budweis = Ceske Budejovice/Tschech.,","Theresienstadt"
"364","211","","13.4.1942 bis 23.6.1943",""
"365","212","Budy, Kreis Biala (früher: Kreis Bielitz-Land),","Budy, Kreis Biala (früher: Kreis Bielitz-Land),","Auschwitz"
"366","212","","ab 1.11.1942",""
"367","213","Budzyn, Kreis Krasnik/Polen,","Budzyn, Kreis Krasnik/Polen,","Lublin"
"368","213","","22.10.1943 bis 6.7.1944",""
"369","214","Buna, siehe Monowitz","Buna, siehe Monowitz",""
"370","215","Bunzlau I/Niederschlesien,","Bunzlau I/Niederschlesien,","Groß Rosen"
"371","215","","1.5.1944 bis 12.2.1945",""
"372","216","Bunzlau II/Niederschlesien,","Bunzlau II/Niederschlesien,","Groß Rosen"
"373","216","","1.10.1944 bis 11.2.1945",""
"374","217","Burgau, Kreis Günzburg,","Burgau, Kreis Günzburg,","Dachau"
"375","217","","11.2.1945 bis 24.4.1945 (Männerlager)",""
"376","217","","3.3.1945 bis 24.4.1945 (Frauenlager)",""
"377","218","Burggraben = Kokoschken-Kokoszki, siehe Danzig-Schichauwerft","Burggraben = Kokoschken-Kokoszki, siehe Danzig-Schichauwerft",""
"378","219","Burgkirchen, siehe Gendorf","Burgkirchen, siehe Gendorf",""
"379","220","Burgsdorf, Gemeinde Bychow","Burgsdorf, Gemeinde Bychow","Stutthof"
"380","221","Buttelstedt, Kreis Weimar,","Buttelstedt, Kreis Weimar,","Buchenwald"
"381","221","","ab 24.3.1941",""
"382","222","Bydgoszcz, siehe Bromberg","Bydgoszcz, siehe Bromberg",""
"383","","C","C",""
"384","223","Cacak/Serbien,","Cacak/Serbien,",""
"385","223","","ab 11.6.1943",""
"386","224","Calw, Kreis Calw,","Calw, Kreis Calw,","Natzweiler"
"387","224","","13.1.1945 bis 2.4.1945",""
"388","225","Carpi, siehe Fossoli di Carpi","Carpi, siehe Fossoli di Carpi",""
"389","226","Cementownia, siehe Lagischa","Cementownia, siehe Lagischa",""
"390","227","Cernay, siehe Sennheim","Cernay, siehe Sennheim",""
"391","228","Ceske Budejovice, siehe Budweis","Ceske Budejovice, siehe Budweis",""
"392","229","Charlottengrube, Gemeinde Rydultau, Kreis Rybnik,","Charlottengrube, Gemeinde Rydultau, Kreis Rybnik,","Auschwitz"
"393","229","","19.9.1944 bis 31.1.1945",""
"394","230","Chelmek-Paprotnik,","Chelmek-Paprotnik,","Auschwitz"
"395","230","","1.10.1942 bis 9.12.1942",""
"396","231","Chelmno, siehe Kulmhof","Chelmno, siehe Kulmhof",""
"397","232","Chemnitz,","Chemnitz,","Sachsenburg"
"398","232","","22.5.1933 bis 4.9.1934",""
"399","233","Chemnitz,","Chemnitz,","Flossenbürg"
"400","233","","ab 24.10.1944",""
"401","234","Chinow/Pommern,","Chinow/Pommern,","Stutthof"
"402","234","","bis 10.3.1945",""
"403","235","Chorabie-Krobia, siehe Korben","Chorabie-Krobia, siehe Korben",""
"404","236","Chrastava, siehe Kratzau","Chrastava, siehe Kratzau",""
"405","237","Christianstadt, Kreis Crossen,","Christianstadt, Kreis Crossen,","Groß Rosen"
"406","237","","bis 3.2.1945",""
"407","238","Chrzanow-Krenau, siehe Janinagrube","Chrzanow-Krenau, siehe Janinagrube",""
"408","239","Cieszyny, siehe Freudendorf/Westpreußen","Cieszyny, siehe Freudendorf/Westpreußen",""
"409","240","Cinq Fontaines, siehe Fünfbrunnen","Cinq Fontaines, siehe Fünfbrunnen",""
"410","241","Cochem-Bruttig,","Cochem-Bruttig,","Natzweiler"
"411","241","","ab 10.3.1944",""
"412","242","Coka,","Coka,","Petrovgrad"
"413","242","","ab 1.3.1943",""
"414","243","Colditz, Kreis Grimma/Sachsen,","Colditz, Kreis Grimma/Sachsen,","Buchenwald"
"415","243","","bis 30.4.1945",""
"416","244","Colditz, Kreis Grimma/Sachsen,","Colditz, Kreis Grimma/Sachsen,","ab 31.5.1934"
"417","244","","22.7.1933 bis 15.8.1934","Sachsenburg"
"418","245","Colmar, siehe Wesserling","Colmar, siehe Wesserling",""
"419","246","""Columbia"", siehe Berlin-Tempelhof","""Columbia"", siehe Berlin-Tempelhof",""
"420","247","Compiegne/Frankreich,","Compiegne/Frankreich,",""
"421","247","","28.8.1941 bis 18.8.1944",""
"422","248","Crawinkel, Kreis Gotha/Thüringen, Kdo. v. Ohrdruf,","Crawinkel, Kreis Gotha/Thüringen, Kdo. v. Ohrdruf,","Buchenwald"
"423","248","","bis 31.3.1945",""
"424","249","Czechowice, siehe Tschechowitz","Czechowice, siehe Tschechowitz",""
"425","250","Czechowice-Dziedzice, siehe Tschechowitz-Dziedzitz","Czechowice-Dziedzice, siehe Tschechowitz-Dziedzitz",""
"426","251","Czernica, siehe Charlottengrube","Czernica, siehe Charlottengrube",""
"427","252","Czwartaki, siehe Lemberg","Czwartaki, siehe Lemberg",""
"428","","D","D",""
"429","253","Dabelow, Kreis Neustrelitz (früher: Kreis Strelitz),","Dabelow, Kreis Neustrelitz (früher: Kreis Strelitz),","Ravensbrück"
"430","253","","ab 26.7.1941",""
"431","254","Dachau, Hauptlager,","",""
"432","254","","22.3.1933 bis 29.4.1945",""
"433","255","Dachau, Entomologisches Institut","Dachau, Entomologisches Institut","Dachau"
"434","256","Dachau, Pollnhof","Dachau, Pollnhof","Dachau"
"435","257","Dachau, Präzifix,","Dachau, Präzifix,","Dachau"
"436","257","","ab 1.11.1942",""
"437","258","Dachau, Wülfert,","Dachau, Wülfert,","Dachau"
"438","258","","ab 13.5.1943",""
"439","259","Dallgow/Döberitz, siehe Jugendschutzlager Dallgow/Döberitz","Dallgow/Döberitz, siehe Jugendschutzlager Dallgow/Döberitz",""
"440","260","Dalum, Kreis Meppen, Kdo. v. Meppen-Versen,","Dalum, Kreis Meppen, Kdo. v. Meppen-Versen,","Neuengamme"
"441","","","bis 25.3.1945",""
"442","260a","Damerau (Männer)/Danzig-Westpreußen,","Damerau (Männer)/Danzig-Westpreußen,","Stutthof"
"443","260a","","30.9.1939 bis 30.11.1939",""
"444","261","Dammsmühle, Gemeinde Schönwalde, Kreis Niederbarnim,","Dammsmühle, Gemeinde Schönwalde, Kreis Niederbarnim,","Sachsenhausen"
"445","261","","2.1.1943 bis 3.7.1943",""
"446","262","Damshöhe,","Damshöhe,","Ravensbrück"
"447","262","","13.5.1943 bis 21.10.1943",""
"448","263","Danzig-Holm, Marinebauleitung,","Danzig-Holm, Marinebauleitung,","Stutthof"
"449","263","","ab 16.10.1944",""
"450","264","Danzig-Langfuhr, Führerschule,","Danzig-Langfuhr, Führerschule,","Stutthof"
"451","264","","29.2.1940 bis 13.5.1941",""
"452","265","Danzig-Langfuhr, Verwaltung,","Danzig-Langfuhr, Verwaltung,","Stutthof"
"453","265","","ab 18.11.1941",""
"454","266","Danzig-Neufahrwasser,","Danzig-Neufahrwasser,","Stutthof"
"455","266","","14.9.1939 bis 1.2.1940",""
"456","267","Danzig-Neufahrwasser, Firma Borchardt,","Danzig-Neufahrwasser, Firma Borchardt,","Stutthof"
"457","267","","1.2.1943 bis 30.6.1943",""
"458","267a","Danzig-Ohra (Männer)","Danzig-Ohra (Männer)","Stutthof"
"459","267a","","30.7.1941 bis 21.8.1941",""
"460","268","Danzig-Oliva, Firma Boetzel,","Danzig-Oliva, Firma Boetzel,","Stutthof"
"461","268","","1.11.1942 bis 30.9.1943",""
"462","269","Danzig-Oliva, Firma Penner,","Danzig-Oliva, Firma Penner,","Stutthof"
"463","269","","1.10.1942 bis 30.6.1943",""
"464","270","Danzig-Oliva, Reitschule,","Danzig-Oliva, Reitschule,","Stutthof"
"465","270","","16.7.1940 bis 23.12.1940",""
"466","271","Danzig-Schellmühl, Carstens,","Danzig-Schellmühl, Carstens,","Stutthof"
"467","271","","27.3.1940 bis 30.7.1940",""
"468","272","Danzig-Schellmühl, Faßfabrik, Firma Jost,","Danzig-Schellmühl, Faßfabrik, Firma Jost,","Stutthof"
"469","272","","ab 27.12.1940",""
"470","273","Danzig, Schichau-Werft,","Danzig, Schichau-Werft,","Stutthof"
"471","273","","13.9.1944 bis 10.3.1945",""
"472","274","Danzig, SS-Hauptversorgungslager,","Danzig, SS-Hauptversorgungslager,","Stutthof"
"473","274","","ab 23.6.1940",""
"474","275","Danzig, SS-Oberabschnitt Weichsel,","Danzig, SS-Oberabschnitt Weichsel,","Stutthof"
"475","275","","1.11.1942 bis 30.9.1943",""
"476","276","Danzig-Troyl, Danziger Werft,","Danzig-Troyl, Danziger Werft,","Stutthof"
"477","276","","26.8.1944 bis 30.3.1945",""
"478","277","Danzig, Viktoriaschule,","Danzig, Viktoriaschule,","Stutthof"
"479","277","","1.9.1939 bis 7.11.1941",""
"480","278","Danzig-Westerplatte,","Danzig-Westerplatte,","Stutthof"
"481","278","","14.9.1939 bis 3.5.1941",""
"482","279","Danzig-Ziegankenberg,","Danzig-Ziegankenberg,","Stutthof"
"483","279","","15.4.1940 bis 1.5.1941",""
"484","280","Darmstadt,","Darmstadt,","Natzweiler"
"485","280","","31.8.1944 bis 12.9.1944",""
"486","281","Daudenzell, siehe Asbach","Daudenzell, siehe Asbach",""
"487","282","Dautmergen, Kreis Balingen,","Dautmergen, Kreis Balingen,","Natzweiler"
"488","282","","23.8.1944 bis 18.4.1945",""
"489","283","Dedinje/Serbien,","Dedinje/Serbien,",""
"490","283","","ab 31.1.1943",""
"491","284","Den Haag, siehe Gravenhage","Den Haag, siehe Gravenhage",""
"492","285","Derendorf, siehe Düsseldorf-Derendorf","Derendorf, siehe Düsseldorf-Derendorf",""
"493","286","Dernau, Kreis Ahrweiler,","Dernau, Kreis Ahrweiler,","Buchenwald"
"494","286","","bis 13.12.1944",""
"495","287","Dessau/Anhalt","Dessau/Anhalt","Buchenwald"
"496","288","Deutsch Lissa, siehe Breslau-Deutsch Lissa","Deutsch Lissa, siehe Breslau-Deutsch Lissa",""
"497","289","Deutschoth/Gau Westmark, Kdo. v. Longwy-Thil,","Deutschoth/Gau Westmark, Kdo. v. Longwy-Thil,","Natzweiler"
"498","289","","24.8.1944 bis 1.9.1944",""
"499","290","Deutz, siehe Köln-Deutz","Deutz, siehe Köln-Deutz",""
"500","291","Dippoldsau, Kreis Steyr, Kdo. v. Großraming,","Dippoldsau, Kreis Steyr, Kdo. v. Großraming,","Mauthausen"
"501","291","","1.7.1943 bis 29.8.1944",""
"502","292","Döberitz, Kreis Osthavelland","Döberitz, Kreis Osthavelland","Sachsenhausen"
"503","293","Dodenhöft, siehe Steegen","Dodenhöft, siehe Steegen",""
"504","294","Domachau/Westpreußen,","Domachau/Westpreußen,","Stutthof"
"505","294","","12.3.1940 bis 29.8.1940",""
"506","295","Dondangen = Dundaga/Lettland,","Dondangen = Dundaga/Lettland,","Riga-Kaiserwald"
"507","295","","bis 21.8.1944",""
"508","296","Dora-Mittelbau, Gemeinde Nordhausen,","Dora-Mittelbau, Gemeinde Nordhausen,","Buchenwald,"
"509","296","","27.8.1943 bis 9.4.1945, mit","bis 31.10.1944"
"510","296","","SS-Baubrigade I",""
"511","296","","SS-Baubrigade III",""
"512","296","","SS-Baubrigade IV",""
"513","296","","SS-Baubrigade V West",""
"514","296","","SS-Eisenbahn-Baubrigade 1 (auch als 6 bezeichnet)",""
"515","296","","SS-Eisenbahn-Baubrigade 2 (auch als 7 bezeichnet)",""
"516","296","","SS-Eisenbahn-Baubrigade 8",""
"517","297","Dörbeck/Ostpreußen","Dörbeck/Ostpreußen","Stutthof"
"518","298","Dormettingen, Kreis Balingen,","Dormettingen, Kreis Balingen,","Natzweiler"
"519","298","","1.1.1945 bis 18.4.1945",""
"520","299","Dornburg, Kreis Zerbst","Dornburg, Kreis Zerbst","Buchenwald"
"521","300","Dörnhau, Kreis Waldenburg/Niederschlesien, Kdo. v. Wüstegiersdorf","Dörnhau, Kreis Waldenburg/Niederschlesien, Kdo. v. Wüstegiersdorf","Groß Rosen"
"522","300","","1.5.1944 bis 8.5.1945",""
"523","301","Dörpen,","Dörpen,","Neusustrum"
"524","301","","9.7.1940 bis 31.7.1940",""
"525","302","Dortmund,","Dortmund,","Buchenwald"
"526","302","","1.10.1944 bis 16.3.1945",""
"527","303","Drancy/Frankreich,","Drancy/Frankreich,",""
"528","303","","20.8.1941 bis 17.8.1944",""
"529","304","Dresden N 23, Bauleitung der Waffen-SS und Polizei,","Dresden N 23, Bauleitung der Waffen-SS und Polizei,","Flossenbürg"
"530","304","","ab 22.6.1942",""
"531","305","Dresden, Verwahrungsanstalt in der Gefangenen-Anstalt II,","Dresden, Verwahrungsanstalt in der Gefangenen-Anstalt II,",""
"532","305","","ab 1.2.1934",""
"533","306","Dresden, Behelfsheim,","Dresden, Behelfsheim,","Flossenbürg"
"534","306","","bis 8.5.1945",""
"535","307","Dresden, Bernsdorf & Co.","Dresden, Bernsdorf & Co.","Flossenbürg"
"536","308","Dresden-Friedrichstadt, Reichsbahn,","Dresden-Friedrichstadt, Reichsbahn,","Flossenbürg"
"537","308","","ab 23.3.1945",""
"538","309","Dresden-Friedrichstadt, Reichsbahn-Ausbesserungswerk,","Dresden-Friedrichstadt, Reichsbahn-Ausbesserungswerk,","Flossenbürg"
"539","309","","ab 14.9.1944",""
"540","310","Dresden-Trachenberge, Kdo. v. Sachsenburg,","Dresden-Trachenberge, Kdo. v. Sachsenburg,","Sachsenburg"
"541","310","","4.9.1934 bis 31.10.1934",""
"542","311","Dresden, Universelle,","Dresden, Universelle,","Flossenbürg"
"543","311","","9.10.1944 bis 13.2.1945",""
"544","312","Dresden, Zeiss-Ikon, Werk Goehle,","Dresden, Zeiss-Ikon, Werk Goehle,","Flossenbürg"
"545","312","","9.10.1944 bis 14.4.1945",""
"546","313","Dresden, Zeiss-Ikon, Werk Reick,","Dresden, Zeiss-Ikon, Werk Reick,","Flossenbürg"
"547","313","","ab 22.10.1944",""
"548","314","Drögen, Gemeinde Buchholz, Kreis Gransee (früher: Kreis Strelitz),","Drögen, Gemeinde Buchholz, Kreis Gransee (früher: Kreis Strelitz),","Sachsenhausen,"
"549","314","","2.5.1941 bis 30.11.1942 (Männer)","ab 1.11.1942"
"550","314","","1.11.1943 bis 8.5.1945 (Frauen)","Ravensbrück"
"551","315","Druseltal, siehe Kassel-Druseltal","Druseltal, siehe Kassel-Druseltal",""
"552","316","Drütte, Gemeinde Watenstedt-Salzgitter,","Drütte, Gemeinde Watenstedt-Salzgitter,","Neuengamme"
"553","316","","1.9.1942 bis 8.4.1945",""
"554","317","Duben, siehe Aschersleben","Duben, siehe Aschersleben",""
"555","318","Dubi, siehe Eichen","Dubi, siehe Eichen",""
"556","319","Duderstadt,","Duderstadt,","Buchenwald"
"557","319","","4.11.1944 bis 7.4.1945",""
"558","320","Dundaga, siehe Dondangen","Dundaga, siehe Dondangen",""
"559","321","Durach, siehe Kottern","Durach, siehe Kottern",""
"560","322","Dürrgoy, siehe Breslau-Dürrgoy","Dürrgoy, siehe Breslau-Dürrgoy",""
"561","323","Düsseldorf-Derendorf,","Düsseldorf-Derendorf,","Buchenwald"
"562","323","","1.9.1944 bis 10.3.1945",""
"563","324","Düsseldorf, Deutsche Erd- und Steinwerke (""DEST""), vormals Kirchfeldstraße 74-80 (Schule),","Düsseldorf, Deutsche Erd- und Steinwerke (""DEST""), vormals Kirchfeldstraße 74-80 (Schule),","Buchenwald"
"564","324","","17.3.1944 bis 13.3.1945",""
"565","325","Düsseldorf-Grafenberg,","Düsseldorf-Grafenberg,","Buchenwald"
"566","325","","3.11.1943 bis 10.3.1945",""
"567","326","Düsseldorf-""Kalkum"",","Düsseldorf-""Kalkum"",","Buchenwald"
"568","326","","ab 28.5.1943",""
"569","327","Düsseldorf-Lohausen,","Düsseldorf-Lohausen,","Buchenwald"
"570","327","","ab 23.11.1944",""
"571","328","Düssin/Mecklenburg,","Düssin/Mecklenburg,","Neuengamme"
"572","328","","bis 1.3.1945",""
"573","329","Dyhernfurth I, Kreis Wohlau/Niederschlesien,","Dyhernfurth I, Kreis Wohlau/Niederschlesien,","Groß Rosen"
"574","329","","1.7.1943 bis 25.1.1945",""
"575","330","Dyhernfurth II, Kreis Wohlau/Niederschlesien,","Dyhernfurth II, Kreis Wohlau/Niederschlesien,","Groß Rosen"
"576","330","","9.1.1944 bis 25.1.1945",""
"577","331","Dziedzice-Czechowice, siehe Tschechowitz-Dziedzitz","Dziedzice-Czechowice, siehe Tschechowitz-Dziedzitz",""
"578","332","Dzierzazna, siehe Jugendschutzlager Litzmannstadt, Kdo. Gut Dzierzazna","Dzierzazna, siehe Jugendschutzlager Litzmannstadt, Kdo. Gut Dzierzazna",""
"579","","E","E",""
"580","333","Ebelsberg, siehe Linz III","Ebelsberg, siehe Linz III",""
"581","334","Ebensee/Oberösterreich,","Ebensee/Oberösterreich,","Mauthausen"
"582","334","","18.11.1943 bis 6.5.1945",""
"583","335","Ebersberg/Bayern","Ebersberg/Bayern","Dachau"
"584","336","Eberswalde,","Eberswalde,","Ravensbrück"
"585","336","","ab 5.9.1944",""
"586","337","Echelsbach, Gemeinde Bayersoien, Kreis Schongau,","Echelsbach, Gemeinde Bayersoien, Kreis Schongau,","Dachau"
"587","337","","bis 4.4.1945",""
"588","338","Eching, Kreis Freising,","Eching, Kreis Freising,","Dachau"
"589","338","","ab 10.4.1945",""
"590","339","Echterdingen, Kreis Esslingen,","Echterdingen, Kreis Esslingen,","Natzweiler"
"591","339","","17.11.1944 bis 21.1.1945",""
"592","340","Edersgrün/Tschech.,","Edersgrün/Tschech.,",""
"593","340","","1.5.1939 bis 31.12.1942",""
"594","341","Edewechterdamm,","Edewechterdamm,","Esterwegen"
"595","341","","25.7.1942 bis 27.9.1943",""
"596","342","Ehrenforst = Slawentzitz, siehe Blechhammer","Ehrenforst = Slawentzitz, siehe Blechhammer",""
"597","343","Eichen bei Kladno = Dubi/Tschech.,","Eichen bei Kladno = Dubi/Tschech.,","Theresienstadt"
"598","343","","1.3.1942 bis 1.10.1942",""
"599","344","Eichstätt, Kdo. v. Nürnberg","Eichstätt, Kdo. v. Nürnberg","Flossenbürg"
"600","345","Eichwalde/Ostpreußen,","Eichwalde/Ostpreußen,","Stutthof"
"601","345","","2.10.1939 bis 10.12.1939",""
"602","346","Eidelstedt, siehe Hamburg-Eidelstedt","Eidelstedt, siehe Hamburg-Eidelstedt",""
"603","346a","Eilsleben (Männer), Kdo. v. Helmstedt-Beendorf/Sachsen","Eilsleben (Männer), Kdo. v. Helmstedt-Beendorf/Sachsen","Neuengamme"
"604","347","Einbeck","Einbeck","Esterwegen"
"605","348","Eindhoven/Holland,","Eindhoven/Holland,","Herzogenbusch"
"606","348","","ab 2.9.1943",""
"607","349","Eintrachthütte, Gemeinde Schwientochlowitz,","Eintrachthütte, Gemeinde Schwientochlowitz,","Auschwitz"
"608","349","","7.6.1943 bis 23.1.1945",""
"609","350","Eisenach,","Eisenach,","Buchenwald"
"610","350","","bis 16.2.1945",""
"611","351","Eisenberg = Jezeri, Gemeinde Ulbersdorf, Kreis Komotau/Tschech.,","Eisenberg = Jezeri, Gemeinde Ulbersdorf, Kreis Komotau/Tschech.,","Flossenbürg"
"612","351","","21.6.1943 bis 8.5.1945",""
"613","352","Eisenerz/Steiermark,","Eisenerz/Steiermark,","Mauthausen"
"614","352","","ab 15.6.1943",""
"615","353","Elbing, Boelckestraße,","Elbing, Boelckestraße,","Stutthof"
"616","353","","27.3.1940 bis 1.3.1942",""
"617","354","Elbing-OT/Ostpreußen,","Elbing-OT/Ostpreußen,","Stutthof"
"618","354","","ab 9.8.1944",""
"619","355","Elbing, Schichau-Werft,","Elbing, Schichau-Werft,","Stutthof"
"620","355","","ab 20.9.1944",""
"621","356","Elley-Meiten = Eleja-Meitene/Lettland,","Elley-Meiten = Eleja-Meitene/Lettland,","Riga-Kaiserwald"
"622","356","","1.10.1943 bis 30.6.1944",""
"623","357","Ellrich, Kreis Nordhausen (Mittelbau II),","Ellrich, Kreis Nordhausen (Mittelbau II),","Buchenwald,"
"624","357","","bis 4.4.1945","ab 1.11.1944"
"625","","","","Dora-Mittelbau"
"626","358","Ellwangen, Kreis Aalen,","Ellwangen, Kreis Aalen,","Dachau"
"627","358","","3.7.1941 bis 17.10.1942",""
"628","359","Ellwangen, Kreis Aalen,","Ellwangen, Kreis Aalen,","Natzweiler"
"629","359","","28.6.1943 bis 7.4.1945",""
"630","360","Elsnig, Kreis Torgau,","Elsnig, Kreis Torgau,","Buchenwald"
"631","360","","bis 20.4.1945",""
"632","361","Emden","Emden","Esterwegen"
"633","362","Enns, Kreis Linz/Oberösterreich,","Enns, Kreis Linz/Oberösterreich,","Mauthausen"
"634","362","","bis 19.4.1945",""
"635","363","Ennsdorf/Niederösterreich,","Ennsdorf/Niederösterreich,","Mauthausen"
"636","363","","bis 30.4.1945",""
"637","364","Ensingen, siehe Vaihingen","Ensingen, siehe Vaihingen",""
"638","365","Entomologisches Institut, siehe Dachau, Entomologisches Institut","Entomologisches Institut, siehe Dachau, Entomologisches Institut",""
"639","366","Erbendorf, siehe Hohenthan und Reuth","Erbendorf, siehe Hohenthan und Reuth",""
"640","367","Erdmannsdorf, siehe Zillerthal-Erdmannsdorf","Erdmannsdorf, siehe Zillerthal-Erdmannsdorf",""
"641","368","Ereda/Estland, siehe Erides","Ereda/Estland, siehe Erides",""
"642","369","Erides = Ereda/Estland,","Erides = Ereda/Estland,","Vaivara"
"643","369","","15.9.1943 bis 20.9.1944",""
"644","370","Erlenbusch, Kreis Waldenburg/Niederschlesien, Kdo. v. Wüstegiersdorf,","Erlenbusch, Kreis Waldenburg/Niederschlesien, Kdo. v. Wüstegiersdorf,","Groß Rosen"
"645","370","","1.5.1944 bis 4.5.1945",""
"646","371","Ernstthal, siehe Hohenstein-Ernstthal","Ernstthal, siehe Hohenstein-Ernstthal",""
"647","372","Erpfting, siehe Kaufering, Lager VII Erpfting","Erpfting, siehe Kaufering, Lager VII Erpfting",""
